order_id,order_date,order_time,store_id,product_id,brand_name,total_amount
1,10-04-2026,12:15:05,ST1008,399945,Faces Canada,302.33
2,10-04-2026,12:15:05,ST1008,353621,Faces Canada,491.77
3,10-04-2026,12:15:05,ST1008,333323,Faces Canada,453.88
4,10-04-2026,12:42:18,ST1008,407887,Purplle,1
5,10-04-2026,12:42:18,ST1008,384974,Faces Canada,397.38
6,10-04-2026,12:42:18,ST1008,374936,Renee,199
7,10-04-2026,12:42:18,ST1008,368782,Faces Canada,614.54
8,10-04-2026,12:42:18,ST1008,373436,Faces Canada,469.77
9,10-04-2026,12:42:18,ST1008,130683,Faces Canada,397.38
10,10-04-2026,12:42:18,ST1008,393137,Foxtale,445.5
11,10-04-2026,12:42:18,ST1008,126784,Faces Canada,216.42
12,10-04-2026,12:42:18,ST1008,402081,Faces Canada,1085.03
13,10-04-2026,12:42:18,ST1008,406891,GUBB,172.8
14,10-04-2026,12:42:18,ST1008,399945,Faces Canada,288.81
15,10-04-2026,12:42:18,ST1008,279076,Good Vibes,315
16,10-04-2026,12:42:18,ST1008,356897,Faces Canada,325
17,10-04-2026,12:42:18,ST1008,291296,Good Vibes,90
18,10-04-2026,12:42:18,ST1008,364190,Faces Canada,614.54
19,10-04-2026,12:42:18,ST1008,373966,Lotus Herbals,321
20,10-04-2026,12:42:18,ST1008,361916,Garnier,275
21,10-04-2026,12:42:18,ST1008,399314,Faces Canada,578.34
22,10-04-2026,12:42:18,ST1008,294201,Good Vibes,198
23,10-04-2026,12:42:18,ST1008,363342,Good Vibes,90
24,10-04-2026,12:42:18,ST1008,404702,Purplle,0
25,10-04-2026,12:42:18,ST1008,179797,Faces Canada,578.34
26,10-04-2026,12:42:18,ST1008,384497,Faces Canada,249
27,10-04-2026,12:42:18,ST1008,368354,Faces Canada,321.38
28,10-04-2026,13:41:55,ST1008,363342,Good Vibes,49.5
29,10-04-2026,13:41:55,ST1008,279076,Good Vibes,49.5
30,10-04-2026,13:41:55,ST1008,279071,Good Vibes,49.5
31,10-04-2026,13:41:55,ST1008,279068,Good Vibes,49.5
32,10-04-2026,13:55:16,ST1008,394925,Purplle,0
33,10-04-2026,13:55:16,ST1008,271000,Carmesi,199
34,10-04-2026,14:23:21,ST1008,314113,Faces Canada,225
35,10-04-2026,15:02:20,ST1008,363228,DERMDOC,314.8
36,10-04-2026,15:02:20,ST1008,403654,DERMDOC,255.34
37,10-04-2026,15:02:20,ST1008,408615,DERMDOC,244.84
38,10-04-2026,15:46:39,ST1008,155017,Faces Canada,599
39,10-04-2026,15:50:44,ST1008,406503,Juicy Chemistry,400
40,10-04-2026,15:50:44,ST1008,394925,Purplle,0
41,10-04-2026,16:08:03,ST1008,401514,Maybelline,799
42,10-04-2026,16:45:32,ST1008,399314,Faces Canada,553.17
43,10-04-2026,16:45:32,ST1008,394925,Purplle,0
44,10-04-2026,16:45:32,ST1008,360507,Faces Canada,691.64
45,10-04-2026,16:45:32,ST1008,396100,Beauty of Joseon,1278
46,10-04-2026,16:45:32,ST1008,401002,Purplle,1
47,10-04-2026,16:45:32,ST1008,405097,Faces Canada,553.17
48,10-04-2026,16:55:36,ST1008,402813,DERMDOC,274.36
49,10-04-2026,16:55:36,ST1008,403652,Alps Goodness,181.76
50,10-04-2026,16:55:36,ST1008,404780,Alps Goodness,273.67
51,10-04-2026,16:55:36,ST1008,323569,Carmesi,249
52,10-04-2026,16:55:36,ST1008,406713,Alps Goodness,188.62
53,10-04-2026,16:55:36,ST1008,329878,Juicy Chemistry,350
54,10-04-2026,16:55:36,ST1008,387400,DERMDOC,240.06
55,10-04-2026,16:55:36,ST1008,406657,DERMDOC,291.5
56,10-04-2026,17:44:44,ST1008,380976,NY Bae,299
57,10-04-2026,17:55:02,ST1008,388090,NY Bae,215.67
58,10-04-2026,17:55:02,ST1008,388094,NY Bae,215.67
59,10-04-2026,17:55:02,ST1008,371730,NY Bae,237.31
60,10-04-2026,17:55:02,ST1008,356990,NY Bae,179.6
61,10-04-2026,17:55:02,ST1008,356451,NY Bae,287.8
62,10-04-2026,17:55:02,ST1008,403232,NY Bae,359.93
63,10-04-2026,18:00:18,ST1008,370805,Faces Canada,149
64,10-04-2026,18:07:14,ST1008,396451,Lakme,495
65,10-04-2026,18:07:14,ST1008,396653,Lakme,198
66,10-04-2026,18:41:51,ST1008,368410,Round Lab,1448.18
67,10-04-2026,18:41:51,ST1008,401002,Purplle,0.8
68,10-04-2026,18:41:51,ST1008,382230,Bare Anatomy,615.09
69,10-04-2026,19:02:09,ST1008,402546,Faces Canada,466.67
70,10-04-2026,19:02:09,ST1008,394925,Purplle,0
71,10-04-2026,19:02:09,ST1008,381345,Faces Canada,299.76
72,10-04-2026,19:02:09,ST1008,402545,Faces Canada,933.34
73,10-04-2026,19:02:09,ST1008,356896,Faces Canada,299.76
74,10-04-2026,19:02:09,ST1008,368354,Faces Canada,296.43
75,10-04-2026,19:21:55,ST1008,363342,Good Vibes,99
76,10-04-2026,19:21:55,ST1008,371315,CUFFS N LASHES,299.39
77,10-04-2026,19:21:55,ST1008,402080,Faces Canada,1221.65
78,10-04-2026,19:21:55,ST1008,279076,Good Vibes,99
79,10-04-2026,19:21:55,ST1008,399534,Faces Canada,599
80,10-04-2026,19:21:55,ST1008,354240,Faces Canada,569.67
81,10-04-2026,19:21:55,ST1008,394926,Purplle,0
82,10-04-2026,19:21:55,ST1008,406891,GUBB,172.8
83,10-04-2026,19:21:55,ST1008,301654,Faces Canada,406.67
84,10-04-2026,19:33:52,ST1008,377427,Carmesi,249
85,10-04-2026,19:33:52,ST1008,254114,COSRX,765
86,10-04-2026,19:33:52,ST1008,372960,NY Bae,99
87,10-04-2026,19:41:29,ST1008,382170,Swiss Beauty,450
88,10-04-2026,19:41:29,ST1008,363342,Good Vibes,99
89,10-04-2026,19:41:29,ST1008,279076,Good Vibes,49.5
90,10-04-2026,19:41:29,ST1008,358013,COSRX,1305
91,10-04-2026,19:41:29,ST1008,279068,Good Vibes,49.5
92,10-04-2026,19:54:02,ST1008,363342,Good Vibes,198
93,10-04-2026,19:54:02,ST1008,399907,Maybelline,313.64
94,10-04-2026,19:54:02,ST1008,409440,GUBB,121.5
95,10-04-2026,19:54:02,ST1008,323145,Maybelline,721.65
96,10-04-2026,20:25:04,ST1008,388090,NY Bae,224.31
97,10-04-2026,20:25:04,ST1008,380982,NY Bae,224.31
98,10-04-2026,20:25:04,ST1008,394925,Purplle,0
99,10-04-2026,20:25:04,ST1008,398011,Faces Canada,449.37
100,10-04-2026,21:16:15,ST1008,367742,Neutrogena,269.1
101,10-04-2026,21:39:55,ST1008,401943,Bare Anatomy,427.5
